,AP 1,AP 2,AP 3,AP 4
482,182.19699007878467,182.32060598049384,182.29782955215614,182.31681407524547
483,182.95024301923283,182.99836992868768,182.93217060962843,182.92137834700634
484,183.8784456987198,183.86206930949857,183.67297778279612,183.97459894327176
485,186.20070419069006,186.4112613599857,186.12638439379202,186.4096255257623
486,181.39994683008112,181.44288094398632,181.4297572890839,181.45416677462845
487,184.80623085810066,184.87292611055364,185.0536994475599,185.02910624022888
488,188.9279309378831,189.18040691498481,189.08027733246786,189.2739151601968
489,186.22376545309243,186.25928255528947,186.32265433284851,186.36932773975332
490,182.55228343817575,182.45189323799946,182.54544044514728,182.62624866908163
491,182.983073723885,183.12455623871017,183.04281542632248,183.1837696972857
492,180.92789255542678,180.95545567305976,180.96729654921205,181.08528862786034
493,180.22321466196945,180.39887797265317,180.4733949105564,180.4881769250219
494,179.83873333861234,180.15165913284704,180.08670386719814,180.05543148261359
495,188.15273225606825,188.27035148396715,188.3441815961835,188.55879324264652
496,189.08453963706202,189.150863655404,189.21794874340412,189.36264180258013
497,184.78701837626096,184.72126377874076,184.66109062755322,184.77108547841635
498,185.00016703672068,185.1478164374654,185.19997152830751,185.36744408883715
499,186.58091353264618,186.75215727767932,186.69174433388207,186.93122341457956
500,179.83873333861234,180.15165913284704,180.08670386719814,180.05543148261359
501,182.95024301923283,182.99836992868768,182.93217060962843,182.92137834700634
502,185.58094968677838,185.63798234839226,185.7075700010712,185.7922343216269
503,180.7344248506827,180.6009275387015,180.89079233512916,180.95110731861223
504,184.06638599369273,184.013832455209,184.05638037684298,184.27283961759576
505,185.10643251630708,185.2977567405951,185.33073227439058,185.52877968191206
506,180.952601873618,180.99388995001766,181.0843610591644,181.07801750521003
507,181.42836694372113,181.62934463710496,181.4566221064474,181.63331098874824
508,186.06597646937303,186.13426733089614,186.29953323660402,186.09041983148063
509,182.6612697924464,182.77986722612536,182.805497618554,182.78800129609317
510,181.74616044389248,181.81292858551308,182.0696528489973,181.98832723226178
511,182.93628704736687,183.084925053819,183.12152496531644,183.09938560439696
512,181.83668741496606,181.9979642105195,182.23051519556248,182.23595661210265
513,185.29072192353146,185.27882556484792,185.39074212837363,185.3842753142253
514,180.7589066643294,180.98694346969296,180.94791323276672,181.1293265395184
515,189.45157735403004,189.39816151713183,189.4770143677174,189.57640825124736
516,187.51230271562147,187.52577310630818,187.70166969668117,187.75304608381703
517,181.0289386056858,181.10904253162414,180.99387972952945,181.16045272560905
518,182.52976091281582,182.62552061339738,182.62367298564436,182.73429061953766
519,183.03611195589164,182.95748967879638,183.0628536458371,183.13636205515604
520,186.95079067820356,187.0615515753334,186.98976796195598,187.02120204135326
521,183.1315267083687,183.30860263549857,183.33311351265615,183.43696366823633
522,179.9450162682547,180.05080636986156,180.10545201656737,180.1169585929515
523,185.36826819589797,185.35735708207392,185.4653787710713,185.5225245427623
524,180.67720900371225,180.83714557713586,180.78148941886593,181.05730019715566
525,186.3486482657988,186.41289684935896,186.5044218545429,186.5584905166761
526,187.3022378163375,187.39553648794504,187.40754219952282,187.44456219055746
527,183.39312542712182,183.37847479634286,183.47530990707287,183.28350029858757
528,189.35017590632333,189.41575604221703,189.53550178954083,189.54391149249432
529,186.35797598361637,186.53392315437384,186.5479765430066,186.66751543639703
530,185.58094968677838,185.63798234839226,185.7075700010712,185.7922343216269
531,182.9481290785045,183.12726402521514,183.43148781185732,182.9739439075861
532,182.801173356713,183.0403289524428,182.97307519986134,182.96492345912384
533,189.50304706742614,189.54380609406064,189.50626609517826,189.65022353813401
